PARAMETER		 			 BIT_POSITION			MIN		MAX		INCL/EXCLUD
---------------------------------------------------------------------------------------------------------------------------												
SAA_Flag 				        	1			0		-		2 
RSErrorCountUvitF 					2			0		-		2
RSErrorCountUvitN 					3			0		-		2
RSErrorCountUvitV 					4			0		-		2
Target_in_FOV				        	5			1		-		2
CPU_BoxTemp_VIS				        	6			10		25		0
CPU_BoxTemp_NUV						7			10		25		0
CPU_BoxTemp_FUV						8			10		25		0
Temperature_HVU_VIS					9			10		30		0
Temperature_HVU_FUV					10			10		30		0
Temperature_HVU_NUV					11			10		30		0
NUV_PRIMARY_PLATE_HTR_M_Th_113_TD172			12			15		25		0
NUV_MB_TOP_LOC_AT_MID_Th_91_TS167			13			15		25		0
NUV_TT_MIDDLE_HTR_TOP_M_SN_304_FTS11			14			15		25		0
NUV_TT_TOP_HTR_TOP_M_SN_302_FTS9			15			15		25		0
NUV_TT_BOTTOM_HTR_TOP_M_SN_306_FTS13			16			15		25		0
NUV_BOT_RING_OUT_HTR_M_SN_308_FTS15			17			15		25		0
FUV_PRIMARY_PLATE_HTR_M_Th_46_TS156			18			15		25		0
FUV_MB_TOP_LOC_AT_MID_Th_34_TS151			19			15		25		0
FUV_TT_MIDDLE_HTR_TOP_M_SN_296_FTS3			20			15		25		0
FUV_TT_TOP_HTR_TOP_M_SN_294_FTS1			21			15		25		0
FUV_TT_BOTTOM_HTR_TOP_M_SN_298_FTS5			22			15		25		0
FUV_BOT_RING_OUT_HTR_M_SN_300_FTS7			23			15		25		0
EU_BaseTemp_Th_30_TS015					24			10		35		0
MCP_Voltage_VIS						25			100		2000		1
MCP_Voltage_NUV						26			100		2000		1
MCP_Voltage_FUV						27			100		2000		1
Cathode_Voltage_VIS					28			-100		20		1
Cathode_Voltage_NUV					29			-100		20		1
Cathode_Voltage_FUV					30			-100		20		1
Anode_Voltage_VIS					31			100		4000		1
Anode_Voltage_NUV					32			100		4000		1
Anode_Voltage_FUV					33			100		4000		1
Aquire_bit_Filter_wheel_VIS				34			1		-		2
Aquire_bit_Filter_wheel_FUV				35			1		-		2
Aquire_bit_Filter_wheel_NUV				36			1		-		2
SUN_ANGLE						37			45		-		0
MOON_ANGLE						38			45		-		0
BR_EARTH						39			90		-		0
TIME_SINCE_SAA						40			3		-		0
SSM_Motion						41			0		-		2
